DateRep;Day;Month;Year;Cases;Deaths;Countries and territories;GeoId;Country Code;Pop_Data.2018;continentExp
2020-11-14;14;11;2020;66;10;Afghanistan;AF;AFG;38041757;Asia
2020-11-13;13;11;2020;360;14;Afghanistan;AF;AFG;38041757;Asia
2020-11-12;12;11;2020;146;4;Afghanistan;AF;AFG;38041757;Asia
2020-11-11;11;11;2020;0;0;Afghanistan;AF;AFG;38041757;Asia
2020-11-10;10;11;2020;224;12;Afghanistan;AF;AFG;38041757;Asia
2020-11-09;9;11;2020;80;3;Afghanistan;AF;AFG;38041757;Asia
2020-11-08;8;11;2020;126;6;Afghanistan;AF;AFG;38041757;Asia
2020-11-07;7;11;2020;58;2;Afghanistan;AF;AFG;38041757;Asia
2020-11-06;6;11;2020;40;0;Afghanistan;AF;AFG;38041757;Asia
2020-11-05;5;11;2020;121;6;Afghanistan;AF;AFG;38041757;Asia
2020-11-04;4;11;2020;86;4;Afghanistan;AF;AFG;38041757;Asia
2020-11-03;3;11;2020;95;3;Afghanistan;AF;AFG;38041757;Asia
2020-11-02;2;11;2020;132;5;Afghanistan;AF;AFG;38041757;Asia
2020-11-01;1;11;2020;76;0;Afghanistan;AF;AFG;38041757;Asia
2020-10-31;31;10;2020;157;4;Afghanistan;AF;AFG;38041757;Asia
2020-10-30;30;10;2020;123;3;Afghanistan;AF;AFG;38041757;Asia
2020-10-29;29;10;2020;0;0;Afghanistan;AF;AFG;38041757;Asia
2020-10-28;28;10;2020;113;7;Afghanistan;AF;AFG;38041757;Asia
2020-10-27;27;10;2020;199;8;Afghanistan;AF;AFG;38041757;Asia
2020-10-26;26;10;2020;65;3;Afghanistan;AF;AFG;38041757;Asia
2020-10-25;25;10;2020;81;4;Afghanistan;AF;AFG;38041757;Asia
2020-10-24;24;10;2020;61;2;Afghanistan;AF;AFG;38041757;Asia
2020-10-23;23;10;2020;116;4;Afghanistan;AF;AFG;38041757;Asia
2020-10-22;22;10;2020;135;2;Afghanistan;AF;AFG;38041757;Asia
2020-10-21;21;10;2020;88;2;Afghanistan;AF;AFG;38041757;Asia
2020-10-20;20;10;2020;87;5;Afghanistan;AF;AFG;38041757;Asia
2020-10-19;19;10;2020;59;4;Afghanistan;AF;AFG;38041757;Asia
2020-10-18;18;10;2020;68;3;Afghanistan;AF;AFG;38041757;Asia
2020-10-17;17;10;2020;47;4;Afghanistan;AF;AFG;38041757;Asia
2020-10-16;16;10;2020;0;0;Afghanistan;AF;AFG;38041757;Asia
2020-10-15;15;10;2020;32;1;Afghanistan;AF;AFG;38041757;Asia
2020-10-14;14;10;2020;66;0;Afghanistan;AF;AFG;38041757;Asia
2020-10-13;13;10;2020;129;3;Afghanistan;AF;AFG;38041757;Asia
2020-10-12;12;10;2020;96;4;Afghanistan;AF;AFG;38041757;Asia
2020-10-11;11;10;2020;0;0;Afghanistan;AF;AFG;38041757;Asia
2020-10-10;10;10;2020;10;1;Afghanistan;AF;AFG;38041757;Asia
2020-10-09;9;10;2020;77;2;Afghanistan;AF;AFG;38041757;Asia
2020-10-08;8;10;2020;68;1;Afghanistan;AF;AFG;38041757;Asia
2020-10-07;7;10;2020;62;2;Afghanistan;AF;AFG;38041757;Asia
2020-10-06;6;10;2020;145;5;Afghanistan;AF;AFG;38041757;Asia
2020-10-05;5;10;2020;44;0;Afghanistan;AF;AFG;38041757;Asia
2020-10-04;4;10;2020;7;4;Afghanistan;AF;AFG;38041757;Asia
2020-10-03;3;10;2020;5;0;Afghanistan;AF;AFG;38041757;Asia
2020-10-02;2;10;2020;17;0;Afghanistan;AF;AFG;38041757;Asia
2020-10-01;1;10;2020;14;0;Afghanistan;AF;AFG;38041757;Asia
2020-09-30;30;9;2020;15;2;Afghanistan;AF;AFG;38041757;Asia
2020-09-29;29;9;2020;12;3;Afghanistan;AF;AFG;38041757;Asia
2020-09-28;28;9;2020;0;0;Afghanistan;AF;AFG;38041757;Asia
2020-09-27;27;9;2020;35;0;Afghanistan;AF;AFG;38041757;Asia
2020-09-26;26;9;2020;6;2;Afghanistan;AF;AFG;38041757;Asia
2020-09-25;25;9;2020;16;0;Afghanistan;AF;AFG;38041757;Asia
2020-09-24;24;9;2020;25;5;Afghanistan;AF;AFG;38041757;Asia
2020-09-23;23;9;2020;71;2;Afghanistan;AF;AFG;38041757;Asia
2020-09-22;22;9;2020;30;3;Afghanistan;AF;AFG;38041757;Asia
2020-09-21;21;9;2020;0;0;Afghanistan;AF;AFG;38041757;Asia
2020-09-20;20;9;2020;125;4;Afghanistan;AF;AFG;38041757;Asia
2020-09-19;19;9;2020;47;1;Afghanistan;AF;AFG;38041757;Asia
2020-09-18;18;9;2020;0;0;Afghanistan;AF;AFG;38041757;Asia
2020-09-17;17;9;2020;17;0;Afghanistan;AF;AFG;38041757;Asia
2020-09-16;16;9;2020;40;10;Afghanistan;AF;AFG;38041757;Asia
2020-09-15;15;9;2020;99;6;Afghanistan;AF;AFG;38041757;Asia
2020-09-14;14;9;2020;75;0;Afghanistan;AF;AFG;38041757;Asia
2020-09-13;13;9;2020;35;0;Afghanistan;AF;AFG;38041757;Asia
2020-09-12;12;9;2020;34;0;Afghanistan;AF;AFG;38041757;Asia
2020-09-11;11;9;2020;28;0;Afghanistan;AF;AFG;38041757;Asia
2020-09-10;10;9;2020;24;2;Afghanistan;AF;AFG;38041757;Asia
2020-09-09;9;9;2020;26;3;Afghanistan;AF;AFG;38041757;Asia
2020-09-08;8;9;2020;96;3;Afghanistan;AF;AFG;38041757;Asia
2020-09-07;7;9;2020;74;2;Afghanistan;AF;AFG;38041757;Asia
2020-09-06;6;9;2020;20;0;Afghanistan;AF;AFG;38041757;Asia
2020-09-05;5;9;2020;16;0;Afghanistan;AF;AFG;38041757;Asia
2020-09-04;4;9;2020;45;1;Afghanistan;AF;AFG;38041757;Asia
2020-09-03;3;9;2020;38;3;Afghanistan;AF;AFG;38041757;Asia
2020-09-02;2;9;2020;9;0;Afghanistan;AF;AFG;38041757;Asia
2020-09-01;1;9;2020;34;4;Afghanistan;AF;AFG;38041757;Asia
2020-08-31;31;8;2020;19;0;Afghanistan;AF;AFG;38041757;Asia
2020-08-30;30;8;2020;3;0;Afghanistan;AF;AFG;38041757;Asia
2020-08-29;29;8;2020;11;1;Afghanistan;AF;AFG;38041757;Asia
2020-08-28;28;8;2020;3;0;Afghanistan;AF;AFG;38041757;Asia
2020-08-27;27;8;2020;55;4;Afghanistan;AF;AFG;38041757;Asia
2020-08-26;26;8;2020;1;0;Afghanistan;AF;AFG;38041757;Asia
2020-08-25;25;8;2020;71;10;Afghanistan;AF;AFG;38041757;Asia
2020-08-24;24;8;2020;0;0;Afghanistan;AF;AFG;38041757;Asia
2020-08-23;23;8;2020;105;2;Afghanistan;AF;AFG;38041757;Asia
2020-08-22;22;8;2020;38;0;Afghanistan;AF;AFG;38041757;Asia
2020-08-21;21;8;2020;97;2;Afghanistan;AF;AFG;38041757;Asia
2020-08-20;20;8;2020;160;8;Afghanistan;AF;AFG;38041757;Asia
2020-08-19;19;8;2020;0;0;Afghanistan;AF;AFG;38041757;Asia
2020-08-18;18;8;2020;3;0;Afghanistan;AF;AFG;38041757;Asia
2020-08-17;17;8;2020;45;5;Afghanistan;AF;AFG;38041757;Asia
2020-08-16;16;8;2020;120;7;Afghanistan;AF;AFG;38041757;Asia
2020-08-15;15;8;2020;7;0;Afghanistan;AF;AFG;38041757;Asia
2020-08-14;14;8;2020;79;9;Afghanistan;AF;AFG;38041757;Asia
2020-08-13;13;8;2020;76;10;Afghanistan;AF;AFG;38041757;Asia
