ln;countries;population;yearChange;netChange;density;landArea;migrants;fertRate;medAge;urbanPop;worldShare;GeoId;pop1m
14;Austria;9006398;0.57 %;51,296;109;82,409;65;1.5;43;57%;0.12 %;AT;9
8;Belgium;11589623;0.44 %;50,295;383;30,28;48;1.7;42;98%;0.15 %;BE;11,6
15;Bulgaria;6948445;-0.74 %;-51,674;64;108,56;-4,8;1.6;45;76%;0.09 %;BG;6,9
20;Croatia;4105267;-0.61 %;-25,037;73;55,96;-8,001;1.4;44;58%;0.05 %;HR;4,1
25;Cyprus;1207359;0.73 %;8,784;131;9,24;5;1.3;37;67%;0.02 %;CY;1,2
9;Czech_Republic;10708981;0.18 %;19,772;139;77,24;22,011;1.6;43;74%;0.14 %;CZ;10,7
16;Denmark;5792202;0.35 %;20,326;137;42,43;15,2;1.8;42;88%;0.07 %;DK;5,8
24;Estonia;1326535;0.07 %;887;31;42,39;3,911;1.6;42;68%;0.02 %;EE;1,3
17;Finland;5540720;0.15 %;8,564;18;303,89;14;1.5;43;86%;0.07 %;FI;5,5
2;France;65273511;0.22 %;143,783;119;547,557;36,527;1.9;42;82%;0.84 %;FR;65,3
1;Germany;83783942;0.32 %;266,897;240;348,56;543,822;1.6;46;76%;1.07 %;DE;83,8
10;Greece;10423054;-0.48 %;-50,401;81;128,9;-16;1.3;46;85%;0.13 %;EL;10,4
13;Hungary;9660351;-0.25 %;-24,328;107;90,53;6;1.5;43;72%;0.12 %;HU;9,7
19;Ireland;4937786;1.13 %;55,291;72;68,89;23,604;1.8;38;63%;0.06 %;IE;4,9
3;Italy;60461826;-0.15 %;-88,249;206;294,14;148,943;1.3;47;69%;0.78 %;IT;60,5
23;Latvia;1886198;-1.08 %;-20,545;30;62,2;-14,837;1.7;44;69%;0.02 %;LV;1,9
21;Lithuania;2722289;-1.35 %;-37,338;43;62,674;-32,78;1.7;45;71%;0.03 %;LT;2,7
26;Luxembourg;625978;1.66 %;10,249;242;2,59;9,741;1.5;40;88%;0.01 %;LU;0,6
27;Malta;441543;0.27 %;1,171;1,38;320;900;1.5;43;93%;0.01 %;MT;0,4
7;Netherlands;17134872;0.22 %;37,742;508;33,72;16;1.7;43;92%;0.22 %;NL;17,1
5;Poland;37846611;-0.11 %;-41,157;124;306,23;-29,395;1.4;42;60%;0.49 %;PL;37,8
11;Portugal;10196709;-0.29 %;-29,478;111;91,59;-6;1.3;46;66%;0.13 %;PT;10,2
6;Romania;19237691;-0.66 %;-126,866;84;230,17;-73,999;1.6;43;55%;0.25 %;RO;19,2
18;Slovakia;5459642;0.05 %;2,629;114;48,088;1,485;1.5;41;54%;0.07 %;SK;5,5
22;Slovenia;2078938;0.01 %;284;103;20,14;2;1.6;45;55%;0.03 %;SI;2,1
4;Spain;46754778;0.04 %;18,002;94;498,8;40;1.3;45;80%;0.60 %;ES;46,8
12;Sweden;10099265;0.63 %;62,886;25;410,34;40;1.9;41;88%;0.13 %;SE;10,1
28;United Kingdom;67886011;0.53 %;355,839;281;241,93;260,65;1.8;40;83%;0.87 %;UK;67,9
