"","Province","Country","Confirmed","Deaths","Recovered","DateRep","countries","dia","ln","population","yearChange","netChange","density","landArea","migrants","fertRate","medAge","urbanPop","worldShare","GeoId","pop1m","S","I","R"
"1",NA,"Italy",1694,34,83,2020-03-01,"Italy",0,15,60461826,"-0,15%",-88249,206,294140,148943,1.3,47,"69%","0,78%","IT",60.5,60460015,1694,117
"2",NA,"France",130,2,12,2020-03-01,"France",0,10,65273511,"0,22%",143783,119,547557,36527,1.9,42,"82%","0,84%","FR",65.3,65273367,130,14
"3",NA,"Germany",130,0,16,2020-03-01,"Germany",0,11,83783942,"0,32%",266897,240,348560,543822,1.6,46,"76%","1,07%","DE",83.8,83783796,130,16
"4",NA,"Spain",84,0,2,2020-03-01,"Spain",0,26,46754778,"0,04%",18002,94,498800,40000,1.3,45,"80%","0,60%","ES",46.8,46754692,84,2
"5",NA,"Austria",14,0,0,2020-03-01,"Austria",0,1,9006398,"0,57%",51296,109,82409,65000,1.5,43,"57%","0,12%","AT",9,9006384,14,0
"6",NA,"Sweden",14,0,0,2020-03-01,"Sweden",0,27,10099265,"0,63%",62886,25,410340,40000,1.9,41,"88%","0,13%","SE",10.1,10099251,14,0
"7",NA,"Netherlands",10,0,0,2020-03-01,"Netherlands",0,20,17134872,"0,22%",37742,508,33720,16000,1.7,43,"92%","0,22%","NL",17.1,17134862,10,0
"8",NA,"Croatia",7,0,0,2020-03-01,"Croatia",0,4,4105267,"-0,61%",-25037,73,55960,-8001,1.4,44,"58%","0,05%","HR",4.1,4105260,7,0
"9",NA,"Greece",7,0,0,2020-03-01,"Greece",0,12,10423054,"-0,48%",-50401,81,128900,-16000,1.3,46,"85%","0,13%","EL",10.4,10423047,7,0
"10",NA,"Finland",6,0,1,2020-03-01,"Finland",0,9,5540720,"0,15%",8564,18,303890,14000,1.5,43,"86%","0,07%","FI",5.5,5540713,6,1
"11",NA,"Denmark",4,0,0,2020-03-01,"Denmark",0,7,5792202,"0,35%",20326,137,42430,15200,1.8,42,"88%","0,07%","DK",5.8,5792198,4,0
"12",NA,"Czechia",3,0,0,2020-03-01,"Czechia",0,6,10708981,"0,18%",19772,139,77240,22011,1.6,43,"74%","0,14%","CZ",10.7,10708978,3,0
"13",NA,"Romania",3,0,0,2020-03-01,"Romania",0,23,19237691,"-0,66%",-126866,84,230170,-73999,1.6,43,"55%","0,25%","RO",19.2,19237688,3,0
"14",NA,"Belgium",2,0,1,2020-03-01,"Belgium",0,2,11589623,"0,44%",50295,383,30280,48000,1.7,42,"98%","0,15%","BE",11.6,11589620,2,1
"15",NA,"Estonia",1,0,0,2020-03-01,"Estonia",0,8,1326535,"0,07%",887,31,42390,3911,1.6,42,"68%","0,02%","EE",1.3,1326534,1,0
"16",NA,"Ireland",1,0,0,2020-03-01,"Ireland",0,14,4937786,"1,13%",55291,72,68890,23604,1.8,38,"63%","0,06%","IE",4.9,4937785,1,0
"17",NA,"Lithuania",1,0,0,2020-03-01,"Lithuania",0,17,2722289,"-1,35%",-37338,43,62674,-32780,1.7,45,"71%","0,03%","LT",2.7,2722288,1,0
"18",NA,"Luxembourg",1,0,0,2020-03-01,"Luxembourg",0,18,625978,"1,66%",10249,242,2590,9741,1.5,40,"88%","0,01%","LU",0.6,625977,1,0
"19",NA,"Italy",2036,52,149,2020-03-02,"Italy",1,15,60461826,"-0,15%",-88249,206,294140,148943,1.3,47,"69%","0,78%","IT",60.5,60459589,2036,201
"20",NA,"France",191,3,12,2020-03-02,"France",1,10,65273511,"0,22%",143783,119,547557,36527,1.9,42,"82%","0,84%","FR",65.3,65273305,191,15
"21",NA,"Germany",159,0,16,2020-03-02,"Germany",1,11,83783942,"0,32%",266897,240,348560,543822,1.6,46,"76%","1,07%","DE",83.8,83783767,159,16
"22",NA,"Spain",120,0,2,2020-03-02,"Spain",1,26,46754778,"0,04%",18002,94,498800,40000,1.3,45,"80%","0,60%","ES",46.8,46754656,120,2
